,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
packet_length_variance,0.03245390132069588,0.014369090693071485,0.0024204843910411,0.0040951765608042475,0.054587830975651744,0.03358061760663986,0.12588963955640792,0.011824001092463732,0.31285184621810913,0.12018314450979233,0.14573537409305573,0.05336235836148262,0.00316068425308913,0.011009930819272994,0.0015633768547559158
fin_flag_count,0.11260992437601089,0.0,0.05059646964073181,2.0312703782110474e-06,0.27735079526901246,0.0,0.0,0.0,0.0,0.0,1.83595075213816e-05,0.0,0.0,0.0,0.0
syn_flag_count,0.0019999078242108224,0.0,0.0,0.0,0.0002446603757562116,0.0029747745604254304,0.031997422501444814,0.3629961609840393,0.0,0.036290686950087546,0.0,0.0034764773678034543,0.0,0.0,0.0
rst_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psh_flag_count,0.07263673096895218,0.033722690865397455,0.0006169854663312435,0.0026153464568778872,0.009561040252447129,0.04405301921069622,0.15630123615264893,0.0008241084404289722,0.0,0.0,1.040989911556244,0.0009858708770480006,0.00026711381506174805,0.0,0.0
ack_flag_count,0.019477416947484016,0.0,0.1757700502872467,0.011325101600959897,0.020142715610563754,0.005506619019433856,0.034393224865198135,0.0003346023615449667,0.002326301857829094,0.00030235545709729196,0.03622047193348408,0.0010325399460271,3.809912886936218e-05,0.0,0.0
urg_flag_count,0.018341318890452384,0.7040270924568176,0.10087312608957291,0.10618305653333664,0.017796983197331428,0.12229063212871552,0.12447740584611892,0.0037785334803629666,0.0,0.004179339949041605,0.000465231595444493,0.713188624382019,0.23875419199466705,0.881103241443634,0.001303576014470309
cwe_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ece_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down/up_ratio,0.015000546537339687,0.010685712751001119,0.0059662970248609785,0.0285586753860116,0.021545534208416938,0.2394051134586334,0.06022601798176765,0.005815916461870074,0.0,0.00545054143294692,0.003405266674235463,0.013318326231092215,0.0394880972802639,0.04652182869613171,0.0025234049069695176
