accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,dataset,task,model,config,fold,n_train,backend,converged,fit_seconds
0.9317,0.8863,0.8954,0.8863,0.8907,cicids2017,binary,SVM,default,3,50000,sklearn,False,557.5
0.8667,0.9065,0.7959,0.9065,0.826,cicids2017,binary,SVM,balanced_resample,3,50000,sklearn,False,466.7
0.9927,0.99,0.987,0.99,0.9885,cicids2017,binary,MLP,default,3,1333334,sklearn,True,103.8
0.9687,0.9764,0.9336,0.9764,0.9529,cicids2017,binary,MLP,weighted_loss,3,1333334,sklearn,True,44.6
0.9974,0.8093,0.8548,0.8093,0.8275,cicids2017,multi,RandomForest,default,1,1333333,sklearn,,232.6
0.9876,0.9007,0.7633,0.9007,0.79,cicids2017,multi,RandomForest,balanced_resample,1,1333333,sklearn,,174.4
0.932,0.3477,0.4182,0.3477,0.3716,cicids2017,multi,SVM,default,1,50000,sklearn,True,483.2
0.6975,0.6006,0.2422,0.6006,0.2889,cicids2017,multi,SVM,balanced_resample,1,50000,sklearn,True,1423.9
0.9932,0.6881,0.8585,0.6881,0.7059,cicids2017,multi,MLP,default,1,1333333,sklearn,True,104.9
0.6444,0.7994,0.2671,0.7994,0.3096,cicids2017,multi,MLP,weighted_loss,1,1333333,sklearn,True,6.3
0.9966,0.7525,0.8566,0.7525,0.7833,cicids2017,multi,RandomForest,default,2,1333333,sklearn,,199.6
0.9876,0.844,0.814,0.844,0.7936,cicids2017,multi,RandomForest,balanced_resample,2,1333333,sklearn,,171.0
0.9319,0.3518,0.4207,0.3518,0.3755,cicids2017,multi,SVM,default,2,50000,sklearn,True,492.1
0.6816,0.6153,0.3153,0.6153,0.2903,cicids2017,multi,SVM,balanced_resample,2,50000,sklearn,True,1526.9
0.9913,0.6403,0.8832,0.6403,0.683,cicids2017,multi,MLP,default,2,1333333,sklearn,True,103.4
0.805,0.8139,0.3467,0.8139,0.4058,cicids2017,multi,MLP,weighted_loss,2,1333333,sklearn,True,15.5
0.9976,0.7783,0.8583,0.7783,0.8002,cicids2017,multi,RandomForest,default,3,1333334,sklearn,,208.5
0.9886,0.8555,0.7652,0.8555,0.7648,cicids2017,multi,RandomForest,balanced_resample,3,1333334,sklearn,,179.2
0.9326,0.3522,0.4212,0.3522,0.3764,cicids2017,multi,SVM,default,3,50000,sklearn,True,488.3
0.7072,0.6149,0.2515,0.6149,0.3003,cicids2017,multi,SVM,balanced_resample,3,50000,sklearn,True,1573.4
0.9928,0.6829,0.8746,0.6829,0.7089,cicids2017,multi,MLP,default,3,1333334,sklearn,True,118.4
0.7228,0.7941,0.2784,0.7941,0.3242,cicids2017,multi,MLP,weighted_loss,3,1333334,sklearn,True,9.5
