dataset,task,model,trial,lr,batch,dropout,weight_decay,width,depth,f1_macro,balanced_accuracy,epochs,seconds,hidden,layers
unsw_nb15,multi,CNN1D,16,0.0020471967780231,256,0.1,1.1895896737553554e-05,32.0,4.0,0.4692,0.6352,21,102.8,,
unsw_nb15,multi,CNN1D,17,0.002786541928918,2048,0.1,1.9329933033819648e-06,128.0,4.0,0.4056,0.6216,25,439.3,,
unsw_nb15,multi,CNN1D,18,0.0013709768754863,256,0.2,5.941462537454564e-05,64.0,4.0,0.4725,0.6431,25,167.3,,
unsw_nb15,multi,CNN1D,19,0.0008997333611268,1024,0.5,0.0008225007188121,128.0,2.0,0.3566,0.5451,25,50.2,,
unsw_nb15,multi,BiLSTM,0,0.0004332296801195,256,0.2,0.0002183096839052,,,0.3888,0.5213,25,279.0,32.0,3.0
unsw_nb15,multi,BiLSTM,1,0.0005726848309584,1024,0.2,2.386418878005603e-05,,,0.2993,0.5222,25,75.9,32.0,3.0
unsw_nb15,multi,BiLSTM,2,0.0001083911041389,512,0.3,0.0006541210527692,,,0.3556,0.4793,25,87.1,64.0,1.0
unsw_nb15,multi,BiLSTM,3,0.0011212915939563,512,0.5,1.9762189340280072e-05,,,0.3499,0.424,25,144.4,32.0,3.0
unsw_nb15,multi,BiLSTM,4,0.0010968567722519,512,0.3,0.000834193029414,,,0.4017,0.5552,25,1053.7,128.0,2.0
unsw_nb15,multi,BiLSTM,5,0.0001425709156083,512,0.2,1.4040609919104426e-05,,,0.335,0.4026,25,147.3,32.0,3.0
unsw_nb15,multi,BiLSTM,6,0.0028966677986872,1024,0.5,2.2464551680532603e-05,,,0.3441,0.515,25,50.3,64.0,1.0
unsw_nb15,multi,BiLSTM,7,0.00438101213592,512,0.1,8.20051840224583e-06,,,0.3937,0.5337,25,117.2,32.0,2.0
unsw_nb15,multi,BiLSTM,8,0.001456116573627,1024,0.3,2.32335035153901e-06,,,0.3339,0.5336,25,77.3,32.0,3.0
unsw_nb15,multi,BiLSTM,9,0.0001971151073915,256,0.3,3.521342459487091e-06,,,0.3716,0.4742,25,236.3,64.0,2.0
unsw_nb15,multi,BiLSTM,10,0.0007658004831331,512,0.3,3.5856126103453987e-06,,,0.395,0.5439,25,1047.8,128.0,2.0
unsw_nb15,multi,BiLSTM,11,0.0020783840444891,512,0.1,0.0004835952776465,,,0.3995,0.587,21,133.8,64.0,3.0
unsw_nb15,multi,BiLSTM,12,0.0036913582804762,2048,0.3,1.3667272915456224e-06,,,0.3598,0.5719,25,24.7,32.0,1.0
unsw_nb15,multi,BiLSTM,13,0.0002892633116977,256,0.1,0.0007866216981266,,,0.3691,0.516,25,167.6,32.0,1.0
unsw_nb15,multi,BiLSTM,14,0.0003189076664588,256,0.0,1.1140616389973703e-06,,,0.3837,0.5004,25,167.7,32.0,1.0
unsw_nb15,multi,BiLSTM,15,0.000217679062626,2048,0.2,3.949364447222329e-06,,,0.3263,0.4944,25,267.4,128.0,3.0
unsw_nb15,multi,BiLSTM,16,0.0020471967780231,256,0.1,1.1895896737553554e-05,,,0.4428,0.5922,25,291.5,32.0,3.0
unsw_nb15,multi,BiLSTM,17,0.002786541928918,2048,0.1,1.9329933033819648e-06,,,0.3577,0.5491,25,262.4,128.0,3.0
unsw_nb15,multi,BiLSTM,18,0.0013709768754863,256,0.2,5.941462537454564e-05,,,0.4187,0.4947,23,272.0,64.0,3.0
unsw_nb15,multi,BiLSTM,19,0.0008997333611268167,1024,0.5,0.000822500718812138,,,0.3436,0.5126,25,375.9,128.0,1.0
