,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
sjit,0.020856604166328906,0.03382814414799214,0.04200663007795811,0.024599651247262953,0.03765127919614315,0.0078080293722450735,0.020198757015168666,0.1413080021739006,0.2119346708059311,0.13471813425421714
djit,0.02143397256731987,0.032870902493596074,0.036865031346678734,0.017412555776536463,0.04824168086051941,0.01453381236642599,0.025861737504601478,0.061111439019441605,0.03187407255172729,0.11096103489398956
sintpkt,0.03464580327272415,0.033650781214237216,0.026332716271281243,0.020687962509691717,0.024896706640720367,0.00940254395827651,0.04726981073617935,0.019957897439599036,0.06699755191802978,0.1548859342932701
dintpkt,0.021502993255853652,0.013541693799197674,0.014099955186247825,0.018066390976309778,0.012769416347146035,0.014233301766216755,0.024420540034770965,0.051892778277397154,0.0312537431716919,0.21042733043432235
tcprtt,0.23189404904842376,0.012410250212997197,0.027117899619042873,0.12686671167612076,0.011596533376723528,0.005498602613806724,0.018745987303555013,0.03333793953061104,0.049492383003234865,0.7810965955257416
synack,0.064772117882967,0.02036610394716263,0.05993286296725273,0.04412937611341476,0.7371337294578553,0.01963063683360815,0.04262411743402481,0.039815916866064074,0.05002953894436359,1.1707528948783874
ackdat,0.03198073208332062,0.019975666143000125,0.016918008401989936,0.07871792372316122,0.011765119805932044,0.007554023712873459,0.02818699534982443,0.019929619506001472,0.25392452254891396,0.14783723056316375
is_sm_ips_ports,0.0,5.9438723837956786e-05,1.0849671161849983e-05,0.0007506505120545625,4.85021635540761e-05,0.0,0.0008955868426710368,0.0,0.0,0.0
ct_state_ttl,0.4756877958774567,0.47688140869140627,0.269810289144516,0.12510648518800735,0.18532439172267914,0.6230667471885681,1.9352193117141723,0.3652456283569336,0.4352924883365631,0.0017223376155016013
ct_flw_http_mthd,0.14185063689947128,0.010356270242482424,0.002923831669613719,0.031660089269280434,0.010082447715103627,0.005807255022227764,0.020498107373714446,0.013577816635370254,0.0012925346614792942,0.12671613991260527
is_ftp_login,0.0,0.0,0.00037358122353907673,0.013751072995364665,0.0004632107447832823,3.29911248627468e-05,0.0001861636235844344,0.0,0.0,0.0
ct_ftp_cmd,0.1198644369840622,0.1318081796169281,0.03455274775624275,0.018031433783471586,0.13130029439926147,0.018750986084342003,0.06162773594260216,0.05211307257413864,0.1142615407705307,0.08176232650876045
ct_srv_src,0.044979970902204514,0.09313029199838638,0.07779275625944138,0.058979975432157515,0.10165808647871018,0.1277253333479166,0.10702381283044815,0.2059161841869354,0.11295430064201355,0.11242504715919495
ct_srv_dst,0.08283721953630448,0.0919454649090767,0.14008864015340805,0.1656101942062378,0.13929602652788162,0.11257199347019195,0.10817907005548477,0.21633970141410827,0.18638808131217957,0.18245765417814255
ct_dst_ltm,0.02212130166590214,0.03226810656487942,0.016301522590219976,0.028374083340168,0.016839230060577394,0.310467392206192,0.049794108420610425,0.01836831010878086,0.03523813746869564,0.036710286140441896
ct_src__ltm,0.038353562355041504,0.09763300120830536,0.01715251859277487,0.018954341113567353,0.0209706325083971,0.032027965411543846,0.029410779103636743,0.052634984254837036,0.07720238864421844,0.12644944489002227
ct_dst_src_ltm,0.04721579253673554,0.15478034615516661,0.06796637997031212,0.09363269656896592,0.16383322179317475,0.55539790391922,0.07190976664423943,0.4635279178619385,1.0764687776565551,0.2525937378406525
