dataset,fold,attack_class,n_class_total,outcome,n_samples,top_features
unsw_nb15,3,Reconnaissance,11085,correct,162,sbytes=2.4481; sttl=1.8876; smeansz=0.9505; dttl=0.8777; ct_dst_src_ltm=0.5863
unsw_nb15,3,Reconnaissance,11085,misclassified,38,sttl=0.9086; ct_state_ttl=0.3538; sbytes=0.3452; ct_dst_src_ltm=0.2927; proto=0.2592
unsw_nb15,4,Worms,138,correct,14,dttl=2.0094; smeansz=1.6488; synack=1.0679; sbytes=0.8560; sttl=0.7464
unsw_nb15,4,Worms,138,misclassified,14,dttl=1.7113; smeansz=1.2610; synack=1.0455; service=0.7032; sttl=0.6247
unsw_nb15,4,Shellcode,1187,correct,139,ct_dst_src_ltm=1.1935; sttl=1.1736; smeansz=1.0981; sbytes=1.0329; ct_state_ttl=0.5187
unsw_nb15,4,Shellcode,1187,misclassified,61,smeansz=0.6535; sjit=0.5752; dttl=0.5698; ct_dst_src_ltm=0.5193; ct_state_ttl=0.4799
unsw_nb15,4,Backdoor,1815,correct,17,dmeansz=1.4575; smeansz=1.3073; sttl=0.7846; dloss=0.6388; ct_state_ttl=0.5723
unsw_nb15,4,Backdoor,1815,misclassified,183,proto=1.1546; sttl=0.6670; ct_state_ttl=0.4403; service=0.2668; smeansz=0.2109
unsw_nb15,4,Analysis,2115,correct,8,ct_flw_http_mthd=1.5230; tcprtt=1.4689; sttl=0.8322; res_bdy_len=0.4600; dmeansz=0.3799
unsw_nb15,4,Analysis,2115,misclassified,192,proto=1.0591; sttl=0.7050; smeansz=0.5389; ct_state_ttl=0.3714; tcprtt=0.2226
unsw_nb15,4,Reconnaissance,11085,correct,159,sbytes=2.3791; sttl=1.7981; smeansz=1.0146; dttl=0.9519; ct_dst_src_ltm=0.5184
unsw_nb15,4,Reconnaissance,11085,misclassified,41,sttl=0.8697; ct_state_ttl=0.3572; service=0.3492; smeansz=0.3294; sbytes=0.3031
unsw_nb15,5,Worms,138,correct,12,smeansz=1.9042; synack=1.8005; tcprtt=1.0726; sbytes=0.9486; dttl=0.8995
unsw_nb15,5,Worms,138,misclassified,16,synack=1.5914; smeansz=1.3094; sbytes=1.1725; tcprtt=0.7781; dttl=0.7234
unsw_nb15,5,Shellcode,1187,correct,138,sttl=1.6001; ct_dst_src_ltm=1.3108; smeansz=1.2266; sbytes=0.5772; ct_state_ttl=0.4322
unsw_nb15,5,Shellcode,1187,misclassified,62,sttl=0.7094; ct_dst_src_ltm=0.7033; smeansz=0.6800; service=0.4788; ackdat=0.4309
unsw_nb15,5,Backdoor,1815,correct,22,dmeansz=1.8001; smeansz=1.4057; ct_dst_src_ltm=0.5952; sttl=0.5809; ct_state_ttl=0.4303
unsw_nb15,5,Backdoor,1815,misclassified,178,proto=1.3283; sttl=0.5375; ct_state_ttl=0.4729; service=0.2414; sbytes=0.2171
